keyword,capability_weights
government,"language:0.35,factual_accuracy:0.30,summarization:0.25,reasoning:0.10"
military,"reasoning:0.35,factual_accuracy:0.40,coding:0.25"
space,"math:0.40,reasoning:0.35,factual_accuracy:0.25"
startup,"coding:0.30,creative_writing:0.20,reasoning:0.30,instruction_following:0.20"
budget,"data_analysis:0.4,math:0.3,reasoning:0.3"
investment,"math:0.3,reasoning:0.3,data_analysis:0.3,factual_accuracy:0.1"
stock,"math:0.4,data_analysis:0.4,reasoning:0.2"
tax,"reasoning:0.3,math:0.3,factual_accuracy:0.3,instruction_following:0.1"
accounting,"math:0.4,data_analysis:0.3,instruction_following:0.3"
poetry,"creative_writing:0.7,language:0.3"
lyrics,"creative_writing:0.6,language:0.3,multimodal_audio:0.1"
advertising,"creative_writing:0.4,language:0.3,data_analysis:0.3"
chatgpt,"chat:0.5,instruction_following:0.3,language:0.2"
assistant,"chat:0.4,instruction_following:0.4,language:0.2"
qa,"question_answering:0.5,factual_accuracy:0.3,reasoning:0.2"
testing,"coding:0.4,reasoning:0.3,instruction_following:0.3"
devops,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
cloud,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
api,"coding:0.5,instruction_following:0.3,reasoning:0.2"
youtube,"multimodal_video:0.45,creative_writing:0.30,instruction_following:0.25"
pinterest,"multimodal_image:0.50,creative_writing:0.30,instruction_following:0.20"
instagram,"multimodal_image:0.45,creative_writing:0.35,instruction_following:0.20"
tiktok,"multimodal_video:0.50,creative_writing:0.30,instruction_following:0.20"
reel,"multimodal_video:0.50,creative_writing:0.30,instruction_following:0.20"
thumbnail,"multimodal_image:0.60,creative_writing:0.25,instruction_following:0.15"
content creator,"multimodal_video:0.35,multimodal_image:0.25,creative_writing:0.25,instruction_following:0.15"
shorts,"multimodal_video:0.50,creative_writing:0.30,instruction_following:0.20"
facebook,"creative_writing:0.40,multimodal_image:0.30,instruction_following:0.30"
twitter,"creative_writing:0.50,language:0.30,instruction_following:0.20"
linkedin,"creative_writing:0.45,language:0.35,instruction_following:0.20"
post,"creative_writing:0.45,multimodal_image:0.25,instruction_following:0.30"
caption,"creative_writing:0.55,language:0.30,instruction_following:0.15"
hashtag,"creative_writing:0.50,language:0.30,instruction_following:0.20"
vlog,"multimodal_video:0.50,creative_writing:0.30,instruction_following:0.20"
streaming,"multimodal_video:0.45,creative_writing:0.30,instruction_following:0.25"
influencer,"creative_writing:0.40,multimodal_image:0.30,language:0.30"
viral,"creative_writing:0.50,multimodal_image:0.25,instruction_following:0.25"
channel,"multimodal_video:0.45,creative_writing:0.30,instruction_following:0.25"
subscriber,"creative_writing:0.45,instruction_following:0.30,language:0.25"
saas,"coding:0.40,agentic_tool_use:0.30,reasoning:0.20,instruction_following:0.10"
business plan,"reasoning:0.35,creative_writing:0.30,data_analysis:0.25,language:0.10"
pitch deck,"creative_writing:0.40,reasoning:0.30,data_analysis:0.20,language:0.10"
invoice,"data_analysis:0.40,instruction_following:0.35,reasoning:0.25"
payroll,"math:0.40,data_analysis:0.35,instruction_following:0.25"
procurement,"reasoning:0.35,data_analysis:0.35,instruction_following:0.30"
warehouse,"data_analysis:0.40,reasoning:0.35,instruction_following:0.25"
telemedicine,"factual_accuracy:0.40,chat:0.30,instruction_following:0.20,reasoning:0.10"
ehr,"factual_accuracy:0.40,data_analysis:0.30,coding:0.20,instruction_following:0.10"
clinical,"factual_accuracy:0.45,reasoning:0.30,summarization:0.15,language:0.10"
pharmacy,"factual_accuracy:0.50,reasoning:0.30,instruction_following:0.20"
surgery,"factual_accuracy:0.50,reasoning:0.35,instruction_following:0.15"
diagnosis,"factual_accuracy:0.45,reasoning:0.35,question_answering:0.20"
nutrition,"factual_accuracy:0.40,instruction_following:0.35,language:0.25"
assignment,"instruction_following:0.35,reasoning:0.30,creative_writing:0.25,language:0.10"
course,"instruction_following:0.35,language:0.30,summarization:0.25,factual_accuracy:0.10"
curriculum,"instruction_following:0.35,language:0.30,summarization:0.25,factual_accuracy:0.10"
lecture,"summarization:0.40,language:0.30,factual_accuracy:0.30"
textbook,"summarization:0.40,factual_accuracy:0.35,language:0.25"
portfolio,"math:0.35,data_analysis:0.35,reasoning:0.20,factual_accuracy:0.10"
forex,"math:0.40,data_analysis:0.35,reasoning:0.25"
bond,"math:0.40,reasoning:0.35,factual_accuracy:0.25"
mutual fund,"math:0.35,data_analysis:0.35,reasoning:0.30"
financial model,"math:0.40,data_analysis:0.40,reasoning:0.20"
audit,"reasoning:0.35,factual_accuracy:0.35,data_analysis:0.30"
weather,"factual_accuracy:0.45,question_answering:0.35,reasoning:0.20"
disaster,"factual_accuracy:0.40,reasoning:0.35,language:0.25"
policy,"reasoning:0.35,language:0.30,summarization:0.25,factual_accuracy:0.10"
law,"reasoning:0.35,factual_accuracy:0.30,language:0.25,summarization:0.10"
election,"factual_accuracy:0.40,language:0.30,reasoning:0.30"
iot,"coding:0.45,agentic_tool_use:0.30,reasoning:0.25"
microservices,"coding:0.45,agentic_tool_use:0.30,reasoning:0.25"
database,"coding:0.40,data_analysis:0.35,reasoning:0.25"
robotics,"coding:0.35,agentic_tool_use:0.35,reasoning:0.30"
5g,"coding:0.35,reasoning:0.35,factual_accuracy:0.30"
movie,"creative_writing:0.40,multimodal_video:0.30,language:0.30"
book,"creative_writing:0.40,language:0.35,summarization:0.25"
comic,"creative_writing:0.50,multimodal_image:0.30,language:0.20"
broadcast,"multimodal_audio:0.35,multimodal_video:0.35,creative_writing:0.30"
recruitment,"language:0.35,instruction_following:0.35,reasoning:0.30"
performance review,"language:0.35,reasoning:0.35,instruction_following:0.30"
onboarding,"instruction_following:0.40,language:0.35,summarization:0.25"
training,"instruction_following:0.40,language:0.30,summarization:0.30"
meeting notes,"summarization:0.50,language:0.30,instruction_following:0.20"
proposal,"creative_writing:0.35,reasoning:0.35,language:0.30"
product description,"creative_writing:0.45,language:0.35,instruction_following:0.20"
review,"language:0.40,creative_writing:0.35,instruction_following:0.25"
pricing,"data_analysis:0.40,math:0.35,reasoning:0.25"
dropshipping,"instruction_following:0.35,data_analysis:0.35,coding:0.30"
fulfillment,"data_analysis:0.40,reasoning:0.35,instruction_following:0.25"
arabic,"multilingual:0.55,translation:0.30,language:0.15"
chinese,"multilingual:0.55,translation:0.30,language:0.15"
spanish,"multilingual:0.55,translation:0.30,language:0.15"
french,"multilingual:0.55,translation:0.30,language:0.15"
urdu,"multilingual:0.55,translation:0.30,language:0.15"
japanese,"multilingual:0.55,translation:0.30,language:0.15"
hindi,"multilingual:0.55,translation:0.30,language:0.15"
subtitle,"translation:0.50,multimodal_video:0.30,language:0.20"
localization,"translation:0.45,multilingual:0.35,language:0.20"
astronomy,"math:0.35,factual_accuracy:0.40,reasoning:0.25"
forensics,"reasoning:0.40,factual_accuracy:0.40,coding:0.20"
archaeology,"factual_accuracy:0.50,reasoning:0.30,summarization:0.20"
philosophy,"reasoning:0.45,language:0.35,creative_writing:0.20"
psychology,"factual_accuracy:0.40,language:0.30,reasoning:0.30"
sociology,"factual_accuracy:0.40,language:0.35,reasoning:0.25"
debate,"reasoning:0.45,language:0.35,creative_writing:0.20"
rag,"reasoning:0.30,long_context:0.30,memory_recall:0.25,coding:0.15"
retrieval,"reasoning:0.35,memory_recall:0.35,factual_accuracy:0.30"
retrieval augmented,"reasoning:0.30,long_context:0.30,memory_recall:0.25,coding:0.15"
vector database,"coding:0.35,data_analysis:0.35,reasoning:0.30"
vector store,"coding:0.35,data_analysis:0.35,reasoning:0.30"
embeddings,"coding:0.35,data_analysis:0.40,reasoning:0.25"
knowledge base,"reasoning:0.30,memory_recall:0.35,factual_accuracy:0.35"
langchain,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
llamaindex,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
chromadb,"coding:0.40,data_analysis:0.35,reasoning:0.25"
pinecone,"coding:0.40,data_analysis:0.35,reasoning:0.25"
ollama,"coding:0.40,agentic_tool_use:0.30,reasoning:0.30"
local llm,"coding:0.35,agentic_tool_use:0.30,reasoning:0.35"
self-hosted,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
on-premise,"coding:0.40,agentic_tool_use:0.30,reasoning:0.30"
open source,"coding:0.35,reasoning:0.35,instruction_following:0.30"
fine tuning,"coding:0.40,data_analysis:0.35,reasoning:0.25"
fine-tune,"coding:0.40,data_analysis:0.35,reasoning:0.25"
hugging face,"coding:0.45,data_analysis:0.30,reasoning:0.25"
inference,"coding:0.40,reasoning:0.30,data_analysis:0.30"
deployment,"coding:0.40,agentic_tool_use:0.35,reasoning:0.25"
pipeline,"coding:0.40,agentic_tool_use:0.30,reasoning:0.30"
mlops,"coding:0.40,data_analysis:0.35,reasoning:0.25"
autonomous,"agentic_tool_use:0.50,reasoning:0.30,coding:0.20"
multi-agent,"agentic_tool_use:0.50,reasoning:0.35,coding:0.15"
tool use,"agentic_tool_use:0.55,reasoning:0.30,coding:0.15"
function calling,"coding:0.40,agentic_tool_use:0.40,reasoning:0.20"
swarm,"agentic_tool_use:0.50,reasoning:0.35,coding:0.15"
document,"summarization:0.35,reasoning:0.30,question_answering:0.35"
pdf,"summarization:0.35,reasoning:0.30,question_answering:0.35"
ocr,"multimodal_image:0.45,coding:0.30,data_analysis:0.25"
knowledge graph,"reasoning:0.40,coding:0.30,data_analysis:0.30"
openai,"coding:0.35,reasoning:0.35,instruction_following:0.30"
anthropic,"reasoning:0.35,chat:0.35,instruction_following:0.30"
gemini,"multimodal_image:0.30,reasoning:0.35,coding:0.35"
qwen,"coding:0.35,multilingual:0.35,reasoning:0.30"
deepseek,"coding:0.45,math:0.30,reasoning:0.25"
llama,"coding:0.35,reasoning:0.35,instruction_following:0.30"
mistral,"coding:0.35,reasoning:0.35,instruction_following:0.30"
nvidia,"coding:0.35,agentic_tool_use:0.35,reasoning:0.30"
nemotron,"coding:0.35,agentic_tool_use:0.35,reasoning:0.30"
codex,"coding:0.60,reasoning:0.25,instruction_following:0.15"
prompt engineering,"instruction_following:0.40,reasoning:0.35,chat:0.25"
system prompt,"instruction_following:0.45,reasoning:0.35,chat:0.20"
jupyter,"coding:0.45,data_analysis:0.35,reasoning:0.20"
notebook,"coding:0.40,data_analysis:0.35,reasoning:0.25"
pandas,"coding:0.45,data_analysis:0.40,math:0.15"
tensorflow,"coding:0.45,math:0.35,data_analysis:0.20"
pytorch,"coding:0.45,math:0.35,data_analysis:0.20"
flutter,"coding:0.60,instruction_following:0.25,reasoning:0.15"
react,"coding:0.60,instruction_following:0.25,reasoning:0.15"
android,"coding:0.55,instruction_following:0.25,reasoning:0.20"
ios,"coding:0.55,instruction_following:0.25,reasoning:0.20"
unity,"coding:0.55,creative_writing:0.25,reasoning:0.20"
unreal,"coding:0.55,creative_writing:0.25,reasoning:0.20"
scraping,"coding:0.50,agentic_tool_use:0.30,data_analysis:0.20"
web scraping,"coding:0.50,agentic_tool_use:0.30,data_analysis:0.20"
rpa,"coding:0.40,agentic_tool_use:0.40,reasoning:0.20"
